x,y,feature,timestamp
48,5,2,10299493
36,19,3,10299502
5,8,3,10306817
18,7,2,10307366
50,17,3,10307664
27,29,3,10307729
54,4,2,10308539
35,20,0,10308946
19,7,2,10309912
18,7,1,10310063
52,4,3,10310417
19,7,1,10310598
56,4,2,10310692
43,5,5,10310770
60,5,0,10311258
38,19,3,10311294
38,20,6,10312089
1,9,4,10312142
30,16,2,10312661
8,8,5,10312961
12,8,4,10316908
36,6,4,10317263
48,5,4,10319288
54,4,1,10319447
55,4,2,10321385
47,5,6,10324507
29,29,3,10325106
29,30,6,10325153
29,18,0,10327729
59,4,1,10328324
36,20,0,10328750
57,4,0,10329110
57,4,3,10329637
38,13,5,10329665
29,31,5,10330535
2,8,3,10331330
9,8,5,10331360
54,14,3,10331572
58,4,3,10331924
42,5,1,10331981
38,35,5,10332396
37,35,6,10332399
37,20,2,10332996
1,8,1,10333536
29,18,3,10333751
63,5,0,10334384
53,16,2,10334637
45,5,2,10334650
23,33,0,10334928
48,5,2,10335160
2,9,6,10335171
29,19,6,10335292
37,13,7,10335489
57,13,3,10335522
41,6,2,10336390
30,16,1,10336398
6,8,2,10337153
3,8,7,10337234
41,6,0,10337835
29,17,3,10338145
3,8,5,10338186
9,8,0,10338556
58,5,2,10338758
7,8,7,10338883
4,8,7,10338993
0,8,7,10339001
38,13,6,10339122
41,6,6,10339460
6,8,7,10339641
55,16,2,10340181
32,20,6,10341117
62,5,5,10341501
14,8,6,10341678
59,5,2,10342807
62,5,3,10342949
51,16,5,10343430
26,16,3,10343886
49,5,0,10349197
49,5,3,10359330
25,30,3,10362137
56,5,2,10363186
61,6,6,10364078
1,9,4,10364691
25,7,4,10365617
57,5,2,10365816
54,5,0,10365857
55,5,2,10367249
58,5,2,10367429
37,34,6,10368466
46,5,1,10369477
56,5,4,10370407
27,30,2,10370895
58,5,0,10371237
7,8,5,10371352
62,5,5,10371957
59,5,2,10372562
57,5,6,10372564
57,5,4,10373340
2,8,3,10373848
14,8,0,10373942
44,6,6,10374310
61,5,7,10374433
51,5,7,10374537
50,5,7,10374565
55,5,6,10374580
3,8,5,10374606
46,5,7,10375063
57,5,0,10375141
45,5,5,10375206
4,8,2,10375297
56,5,6,10375420
49,5,7,10375826
61,5,5,10379295
46,5,5,10379553
54,5,4,10380454
38,6,0,10383749
62,5,7,10383996
36,6,2,10384229
47,5,5,10384277
58,4,5,10384371
60,5,6,10385842
48,5,3,10388557
45,5,7,10389441
52,5,4,10390678
26,30,7,10391536
49,5,1,10391582
63,5,4,10391665
43,5,5,10391798
53,5,6,10391964
54,5,2,10392962
51,5,4,10393000
32,6,7,10394262
61,5,6,10394622
50,5,1,10394637
40,6,0,10395074
54,4,5,10395612
49,5,3,10396966
31,6,3,10397138
63,5,1,10397668
33,6,7,10398000
41,6,2,10398080
46,5,6,10398651
43,5,7,10398861
23,7,2,10398990
54,4,1,10399025
42,5,1,10399684
36,6,6,10399822
50,5,4,10400029
56,4,1,10400191
32,6,3,10401330
48,5,2,10401825
47,5,1,10401952
49,5,2,10402574
34,18,0,10402712
17,7,1,10402927
32,29,7,10403297
53,4,5,10403600
21,7,0,10404026
41,5,7,10404781
31,29,7,10405960
49,5,0,10406971
43,6,6,10410524
34,6,6,10410984
62,5,2,10411745
35,6,4,10416346
7,8,6,10416721
28,6,5,10416923
61,5,4,10417450
32,16,0,10418283
60,4,7,10418530
35,5,5,10418688
29,6,7,10419884
6,8,5,10420496
27,7,4,10420743
27,6,7,10420745
27,30,4,10422554
0,9,2,10423350
3,9,0,10424567
32,16,5,10425133
61,4,0,10427531
50,5,6,10427978
32,20,4,10428429
49,5,6,10428486
53,17,7,10430952
55,4,5,10431518
25,30,7,10431810
23,33,4,10432917
26,6,5,10433162
23,7,4,10433984
33,6,0,10434581
32,16,6,10434916
37,5,1,10435131
29,6,6,10435382
34,6,5,10435938
52,4,5,10444697
33,6,3,10444913
22,33,7,10447287
22,7,4,10450021
20,7,7,10450176
26,29,7,10451694
18,7,5,10452678
32,17,3,10453155
23,7,6,10454331
18,7,7,10454335
23,32,4,10455055
61,4,6,10455113
22,34,4,10455763
63,3,4,10456925
53,17,6,10457600
30,29,6,10457714
38,5,5,10457904
31,29,4,10458627
32,29,4,10458789
21,34,7,10458839
34,18,2,10458860
24,31,4,10459315
22,32,7,10459502
28,29,4,10459849
16,7,5,10460270
24,30,7,10460931
26,6,3,10462008
52,3,1,10462462
21,7,4,10462733
22,33,4,10464315
54,16,5,10464746
57,3,5,10465824
28,31,4,10466180
4,8,3,10467505
29,28,5,10467857
35,30,0,10467900
27,29,4,10467987
34,6,6,10468118
46,4,5,10468865
24,6,3,10469370
21,35,4,10469684
35,30,3,10469822
36,5,7,10469976
25,30,4,10470950
52,4,6,10474231
29,28,7,10479094
16,7,7,10479334
21,33,7,10481966
15,7,5,10482039
36,5,4,10482993
42,4,1,10483629
12,8,4,10484928
37,20,6,10486020
61,3,5,10490276
15,7,7,10491828
25,7,6,10493099
26,6,5,10495616
3,8,3,10496182
0,9,2,10496450
0,9,7,10496924
14,7,5,10496963
35,30,5,10498449
13,7,5,10499191
29,6,6,10500046
43,4,2,10500086
10,8,1,10500428
16,7,6,10500656
1,9,4,10505431
37,32,5,10508681
11,8,4,10509104
38,34,5,10510863
23,30,1,10511177
14,7,7,10513181
34,30,6,10513224
37,33,6,10513424
25,29,5,10514615
29,28,1,10517170
38,35,6,10518082
